order_id,customer_id,order_date,product_id,category,price,quantity,payment_method,order_status,city
1,1102,2024-08-30,120,Beauty,690.08,2,COD,Delivered,Mumbai
2,1435,2024-03-13,126,Fashion,793.99,3,Card,Returned,Bangalore
3,1860,2024-02-18,55,Fashion,587.19,1,COD,Delivered,Chennai
4,1270,2024-04-10,27,Books,909.83,1,COD,Delivered,Ahmedabad
5,1106,2024-01-02,118,Sports,942.57,1,COD,Delivered,Ahmedabad
6,1071,2024-08-31,53,Home,73.68,2,Card,Delivered,Delhi
7,1700,2024-06-24,39,Beauty,408.35,3,UPI,Delivered,Kolkata
8,1020,2024-08-25,65,Fashion,33.22,2,Card,Delivered,Delhi
9,1614,2024-02-28,145,Beauty,336.12,3,UPI,Delivered,Hyderabad
10,1121,2024-12-18,158,Books,541.5,4,UPI,Delivered,Kolkata
11,1466,2024-04-08,181,Home,911.69,2,UPI,Delivered,Bangalore
12,1214,2024-12-24,13,Electronics,848.09,1,COD,Returned,Pune
13,1330,2024-01-02,21,Fashion,136.22,4,UPI,Delivered,Pune
14,1458,2024-08-30,147,Home,102.1,3,Card,Delivered,Kolkata
15,1087,2024-10-23,53,Beauty,593.37,2,Card,Delivered,Kolkata
16,1372,2024-07-29,19,Books,536.8,3,UPI,Delivered,Kolkata
17,1099,2024-05-02,57,Home,273.71,3,Card,Delivered,Pune
18,1871,2024-08-16,25,Electronics,900.46,2,Card,Delivered,Chennai
19,1663,2024-03-22,31,Home,928.09,2,COD,Cancelled,Ahmedabad
20,1130,2024-05-23,81,Books,408.59,3,UPI,Delivered,Ahmedabad
21,1661,2024-05-19,183,Beauty,891.4,3,UPI,Delivered,Pune
22,1308,2024-01-29,23,Fashion,390.11,4,Card,Delivered,Bangalore
23,1769,2024-09-26,32,Fashion,739.45,1,UPI,Delivered,Ahmedabad
24,1343,2024-09-03,190,Sports,481.18,3,UPI,Delivered,Hyderabad
25,1491,2024-01-12,74,Beauty,131.36,1,UPI,Delivered,Hyderabad
26,1413,2024-12-20,10,Sports,928.65,4,Card,Delivered,Ahmedabad
27,1805,2024-12-02,200,Sports,459.56,1,UPI,Returned,Bangalore
28,1385,2024-04-15,54,Books,737.14,1,Card,Delivered,Pune
29,1191,2024-02-01,52,Books,373.5,4,COD,Delivered,Bangalore
30,1955,2024-03-14,148,Books,28.69,3,Card,Delivered,Kolkata
31,1276,2024-06-19,160,Electronics,109.53,1,UPI,Returned,Ahmedabad
32,1160,2024-12-02,114,Beauty,501.26,3,UPI,Delivered,Ahmedabad
33,1459,2024-03-09,14,Fashion,693.06,3,UPI,Delivered,Kolkata
34,1313,2024-10-27,178,Beauty,341.39,2,UPI,Cancelled,Bangalore
35,1021,2024-12-27,156,Books,698.53,3,UPI,Delivered,Kolkata
36,1252,2024-05-16,110,Electronics,701.65,3,UPI,Delivered,Mumbai
37,1747,2024-04-09,53,Beauty,706.9,1,Card,Delivered,Hyderabad
38,1856,2024-05-25,152,Beauty,497.6,3,COD,Delivered,Delhi
39,1560,2024-01-09,79,Sports,915.74,3,COD,Delivered,Pune
40,1474,2024-03-02,22,Beauty,494.3,2,UPI,Returned,Pune
41,1058,2024-07-03,30,Sports,455.76,2,Card,Cancelled,Mumbai
42,1510,2024-01-29,191,Sports,207.39,1,UPI,Delivered,Chennai
43,1681,2024-04-23,4,Home,314.58,1,Card,Delivered,Delhi
