Transaction ID,Customer ID,Transaction Date,Transaction Amount,Transaction Type,Merchant Category,Location,Device Used,Fraud Flag
T100000,C1229,2024-01-13,7803.53,ATM,Fuel,Hyderabad,ATM Machine,No
T100001,C1210,2024-12-12,19038.93,ATM,Utilities,Delhi,ATM Machine,No
T100002,C1066,2024-01-16,36653.3,Online,Travel,Hyderabad,Tablet,No
T100003,C2150,2024-04-11,12173.84,ATM,Utilities,Kolkata,ATM Machine,No
T100004,C1570,2025-02-18,7969.73,Online,Restaurant,Kolkata,Desktop,No
T100005,C1441,2025-05-05,2424.32,POS,Electronics,Delhi,POS Terminal,No
T100006,C1736,2025-03-09,965.45,POS,E-commerce,Chennai,POS Terminal,No
T100007,C1941,2024-10-01,43335.57,Online,Healthcare,Delhi,Tablet,No
T100008,C1741,2024-10-22,30135.53,Online,Electronics,Mumbai,Tablet,No
T100009,C1593,2024-02-10,35462.01,Online,Electronics,Kolkata,Desktop,No
T100010,C1748,2024-03-24,406.71,POS,Entertainment,Hyderabad,POS Terminal,No
T100011,C1147,2024-11-07,19413.24,ATM,Restaurant,Jaipur,ATM Machine,No
T100012,C1335,2024-08-24,12503.4,POS,Fuel,Jaipur,POS Terminal,No
T100013,C1665,2025-03-07,10774.49,Online,Travel,Mumbai,Desktop,No
T100014,C1136,2024-04-18,4045.59,ATM,Entertainment,Hyderabad,ATM Machine,No
T100015,C1811,2025-03-28,4076.39,ATM,Fashion,Bangalore,ATM Machine,No
T100016,C1506,2025-01-16,6432.72,ATM,Utilities,Chennai,ATM Machine,No
T100017,C1878,2025-04-04,10732.75,ATM,Healthcare,Pune,ATM Machine,No
T100018,C1284,2024-09-17,6535.98,POS,Electronics,Mumbai,POS Terminal,No
T100019,C1314,2024-11-17,14703.21,Online,Healthcare,Lucknow,Mobile,No
T100020,C1959,2024-09-27,9216.61,POS,Utilities,Mumbai,POS Terminal,No
T100021,C1235,2024-12-15,3220.13,ATM,Fuel,Pune,ATM Machine,No
T100022,C1891,2024-03-21,4452.96,POS,Grocery,Chennai,POS Terminal,No
T100023,C1366,2024-09-16,18444.82,Online,Fuel,Jaipur,Tablet,No
T100024,C1766,2025-01-25,22912.29,Online,Utilities,Jaipur,Mobile,No
T100025,C2001,2024-01-10,39301.76,Online,Entertainment,Chennai,Mobile,No
T100026,C2162,2025-04-29,10143.75,Online,Electronics,Ahmedabad,Mobile,No
T100027,C2091,2025-01-27,25808.88,Online,Restaurant,Ahmedabad,Tablet,No
T100028,C2081,2025-03-22,12052.08,ATM,Healthcare,Hyderabad,ATM Machine,No
T100029,C1412,2024-12-31,792.11,POS,Healthcare,Pune,POS Terminal,No
T100030,C2060,2024-08-19,30455.73,Online,Travel,Hyderabad,Mobile,No
T100031,C2135,2024-04-27,3825.22,ATM,Travel,Mumbai,ATM Machine,No
T100032,C1121,2024-04-27,3439.57,Online,Grocery,Pune,Mobile,No
T100033,C1571,2024-12-08,14238.39,POS,Travel,Jaipur,POS Terminal,No
T100034,C2170,2024-10-22,14487.92,POS,Travel,Ahmedabad,POS Terminal,No
T100035,C1390,2024-02-18,40458.19,Online,Healthcare,Pune,Desktop,No
T100036,C1111,2024-12-10,6439.97,ATM,Electronics,Mumbai,ATM Machine,No
T100037,C1695,2025-02-13,5064.07,Online,Travel,Hyderabad,Mobile,No
T100038,C1288,2024-08-04,34274.8,Online,Fuel,Ahmedabad,Mobile,No
T100039,C1155,2024-08-14,9082.97,ATM,Electronics,Mumbai,ATM Machine,No
T100040,C2108,2025-03-04,6277.5,Online,Electronics,Hyderabad,Mobile,No
T100041,C1986,2024-04-19,7478.14,POS,Grocery,Bangalore,POS Terminal,No
T100042,C1800,2024-05-15,612.39,POS,Fuel,Kolkata,POS Terminal,No
T100043,C2139,2024-12-04,18231.75,ATM,Fashion,Bangalore,ATM Machine,No
T100044,C1446,2025-05-10,13087.24,Online,E-commerce,Jaipur,Mobile,No
T100045,C1118,2024-01-26,13419.18,ATM,Fashion,Jaipur,ATM Machine,No
T100046,C2088,2024-03-21,15723.21,Online,Utilities,Delhi,Mobile,No
T100047,C1140,2024-12-11,26099.39,Online,Healthcare,Delhi,Tablet,No
T100048,C1082,2024-11-13,27426.17,Online,Healthcare,Lucknow,Tablet,No
T100049,C1535,2024-04-14,4104.66,ATM,Entertainment,Hyderabad,ATM Machine,No
T100050,C1269,2024-12-09,19406.9,ATM,Fuel,Ahmedabad,ATM Machine,No
T100051,C1149,2024-01-05,11649.48,POS,E-commerce,Lucknow,POS Terminal,No
T100052,C1151,2024-10-02,46987.05,Online,Utilities,Chennai,Mobile,No
T100053,C1141,2025-03-26,44762.4,Online,Entertainment,Chennai,Mobile,No
T100054,C2113,2024-12-26,9008.71,POS,E-commerce,Jaipur,POS Terminal,Yes
T100055,C2136,2024-06-02,18476.55,ATM,Electronics,Bangalore,ATM Machine,No
T100056,C1220,2025-01-15,2225.6,ATM,Restaurant,Chennai,ATM Machine,No
T100057,C1432,2025-01-02,3020.14,POS,Travel,Chennai,POS Terminal,No
T100058,C1515,2025-04-08,2452.32,Online,Electronics,Kolkata,Desktop,No
T100059,C1684,2025-01-29,16401.45,Online,Fuel,Bangalore,Tablet,No
T100060,C1876,2024-10-14,19556.13,Online,Electronics,Delhi,Tablet,No
T100061,C2118,2024-01-19,4143.1,POS,E-commerce,Jaipur,POS Terminal,No
T100062,C1262,2024-01-22,12448.19,POS,Entertainment,Mumbai,POS Terminal,No
T100063,C1431,2024-12-15,17966.32,Online,Electronics,Pune,Tablet,No
T100064,C1833,2025-05-13,5978.22,ATM,Restaurant,Hyderabad,ATM Machine,No
T100065,C1363,2025-03-27,8186.17,POS,Grocery,Bangalore,POS Terminal,No
T100066,C1681,2025-02-04,2199.77,POS,Travel,Chennai,POS Terminal,No
T100067,C1222,2024-07-14,40149.41,Online,Fashion,Hyderabad,Mobile,No
T100068,C1943,2024-06-28,1210.8,POS,Travel,Hyderabad,POS Terminal,Yes
T100069,C1396,2024-07-23,14804.62,POS,Fuel,Delhi,POS Terminal,No
T100070,C1572,2024-06-28,15558.77,ATM,Utilities,Kolkata,ATM Machine,No
T100071,C2099,2024-06-18,10096.04,Online,Electronics,Chennai,Mobile,No
T100072,C1544,2024-01-20,475.0,Online,E-commerce,Kolkata,Desktop,No
T100073,C1643,2024-08-11,16401.5,ATM,Utilities,Delhi,ATM Machine,No
T100074,C2181,2024-04-07,10632.17,POS,Grocery,Kolkata,POS Terminal,Yes
T100075,C2103,2024-12-17,14715.64,ATM,Travel,Pune,ATM Machine,No
T100076,C1677,2024-11-15,11591.93,POS,Electronics,Chennai,POS Terminal,No
T100077,C1837,2024-06-16,1203.27,POS,Fuel,Jaipur,POS Terminal,No
T100078,C1862,2024-12-06,5441.14,POS,Restaurant,Lucknow,POS Terminal,No
T100079,C1832,2024-10-07,5970.28,Online,Fuel,Chennai,Mobile,No
T100080,C2188,2024-11-06,17330.52,ATM,Entertainment,Ahmedabad,ATM Machine,No
T100081,C1438,2024-09-18,9387.14,POS,Restaurant,Delhi,POS Terminal,No
T100082,C1687,2024-02-17,16678.72,Online,Fuel,Hyderabad,Mobile,No
T100083,C1095,2024-05-05,1047.02,POS,E-commerce,Delhi,POS Terminal,No
T100084,C2179,2024-04-09,6564.16,ATM,Healthcare,Ahmedabad,ATM Machine,No
T100085,C1303,2024-12-01,6841.07,ATM,Grocery,Delhi,ATM Machine,No
T100086,C1449,2024-03-31,14727.32,ATM,Utilities,Ahmedabad,ATM Machine,No
T100087,C1511,2025-04-14,31950.36,Online,Fashion,Bangalore,Desktop,No
T100088,C2145,2024-10-31,13319.47,POS,Fashion,Lucknow,POS Terminal,No
T100089,C2034,2024-08-06,9708.19,ATM,Fashion,Bangalore,ATM Machine,No
T100090,C1973,2024-08-18,1881.95,POS,Travel,Chennai,POS Terminal,No
T100091,C2068,2024-09-05,14408.27,ATM,Travel,Chennai,ATM Machine,No
T100092,C1586,2024-04-30,11435.7,POS,Entertainment,Pune,POS Terminal,No
T100093,C1166,2024-03-11,28151.6,Online,Travel,Kolkata,Tablet,No
T100094,C1439,2024-02-02,11587.41,POS,Healthcare,Pune,POS Terminal,No
T100095,C1852,2024-02-01,24791.02,Online,Healthcare,Kolkata,Tablet,No
T100096,C1041,2025-03-14,10693.29,ATM,Healthcare,Ahmedabad,ATM Machine,Yes
T100097,C1721,2024-06-01,6470.36,POS,Healthcare,Jaipur,POS Terminal,No
T100098,C2119,2025-02-13,995.67,ATM,Travel,Ahmedabad,ATM Machine,No
T100099,C1893,2024-09-05,5572.99,Online,Healthcare,Pune,Tablet,No
T100100,C1829,2025-01-05,1765.17,Online,Fashion,Bangalore,Tablet,No
T100101,C1807,2024-10-30,12910.0,ATM,Grocery,Delhi,ATM Machine,No
T100102,C1278,2025-03-19,4783.9,POS,Restaurant,Mumbai,POS Terminal,No
T100103,C1671,2024-04-18,7677.7,POS,Entertainment,Pune,POS Terminal,No
T100104,C1777,2024-05-22,13622.74,POS,Fuel,Delhi,POS Terminal,No
