Booking_ID,Hotel_Type,Booking_Date,Checkin_Date,Checkout_Date,Lead_Time,Country,Adults,Children,Room_Type,ADR,Booking_Channel,Cancellation_Status
BKG100000,Resort Hotel,2023-10-17,2023-11-14,2023-11-15,28,Singapore,3,0.0,Standard,124.73,,Check-Out
BKG100001,City Hotel,2022-04-06,2022-05-31,2022-06-04,55,,1,2.0,Family,117.66,,Canceled
BKG100002,City Hotel,2022-01-07,2022-02-16,2022-02-23,40,USA,3,0.0,Standard,105.09,Offline Agent,Check-Out
BKG100003,Resort Hotel,2024-05-17,2024-08-13,2024-08-23,88,Australia,3,0.0,Standard,271.62,Corporate,Canceled
BKG100004,Resort Hotel,2023-09-26,2023-12-27,2024-01-06,92,France,2,0.0,Standard,73.29,,Canceled
BKG100005,Resort Hotel,2023-01-25,2023-04-06,2023-04-14,71,France,3,0.0,,167.35,Direct,Check-Out
BKG100006,Resort Hotel,2022-09-08,2022-10-19,2022-10-27,41,UAE,4,0.0,,346.96,,Canceled
BKG100007,City Hotel,2024-04-04,2024-06-23,2024-06-30,80,Germany,3,,Family,121.19,Offline Agent,Canceled
BKG100008,City Hotel,2023-10-21,2024-02-15,2024-02-18,117,,3,0.0,Family,131.52,,Check-Out
BKG100009,Resort Hotel,2022-05-22,2022-09-29,2022-10-07,130,UK,1,0.0,Family,309.72,Online Travel Agent,Check-Out
BKG100010,Resort Hotel,2023-09-03,2023-12-31,2024-01-09,119,USA,3,2.0,Suite,309.63,Corporate,Check-Out
BKG100011,Resort Hotel,2023-03-22,2023-05-01,2023-05-09,40,Singapore,1,0.0,,341.85,Corporate,Canceled
BKG100012,Resort Hotel,2023-06-04,2023-11-06,2023-11-10,155,Brazil,2,0.0,Suite,281.13,Offline Agent,Check-Out
BKG100013,Resort Hotel,2023-01-07,2023-03-26,2023-03-30,78,USA,1,0.0,Family,314.62,Online Travel Agent,No-Show
BKG100014,City Hotel,2023-06-30,2023-08-01,2023-08-04,32,Germany,4,2.0,,107.89,,Check-Out
BKG100015,Resort Hotel,2023-11-19,2024-05-03,2024-05-09,166,,4,2.0,Standard,190.93,Corporate,Check-Out
BKG100016,Resort Hotel,2023-07-22,2023-09-18,2023-09-28,58,Germany,2,0.0,Standard,80.59,Online Travel Agent,Canceled
BKG100017,Resort Hotel,2022-03-14,2022-07-23,2022-07-27,131,Brazil,3,1.0,Family,122.13,Direct,Canceled
BKG100018,City Hotel,2024-04-06,2024-07-19,2024-07-23,104,Australia,1,0.0,Family,251.1,,Canceled
BKG100019,Resort Hotel,2022-02-25,2022-08-16,2022-08-18,172,Germany,1,1.0,Deluxe,271.18,Direct,Check-Out
BKG100020,Resort Hotel,2022-05-24,2022-09-09,2022-09-12,108,Canada,3,1.0,Standard,132.44,,Check-Out
BKG100021,City Hotel,2023-07-08,2023-07-11,2023-07-13,3,Germany,2,,Family,177.86,,Check-Out
BKG100022,City Hotel,2022-01-03,2022-04-12,2022-04-17,99,UK,4,0.0,Deluxe,182.67,Corporate,Check-Out
BKG100023,City Hotel,2022-03-01,2022-07-27,2022-08-05,148,Singapore,1,0.0,Deluxe,76.58,Online Travel Agent,No-Show
BKG100024,Resort Hotel,2022-03-24,2022-05-10,2022-05-12,47,Brazil,1,0.0,Standard,177.09,Online Travel Agent,Check-Out
BKG100025,City Hotel,2023-08-21,2024-01-12,2024-01-21,144,Germany,3,0.0,Suite,119.24,Offline Agent,Check-Out
BKG100026,Resort Hotel,2023-10-23,2024-01-07,2024-01-15,76,USA,3,0.0,Deluxe,62.7,Corporate,Check-Out
BKG100027,City Hotel,2022-12-24,2023-01-10,2023-01-14,17,,3,0.0,Standard,105.75,Corporate,Canceled
BKG100028,Resort Hotel,2022-04-17,2022-05-21,2022-05-26,34,France,1,0.0,,275.3,Direct,Canceled
BKG100029,Resort Hotel,2022-07-28,2023-01-19,2023-01-24,175,USA,4,0.0,Family,322.55,Corporate,Check-Out
