Booking_ID,Hotel_Type,Booking_Date,Checkin_Date,Checkout_Date,Lead_Time,Country,Adults,Children,Room_Type,Average_Daily_Rate,Booking_Channel,Cancellation_Status,year,month,month_name,month_year,Stay_Duration,Revenue,is_canceled
BKG100000,Resort Hotel,2023-10-17,2023-11-14,2023-11-15,28,Singapore,3,0.0,Standard,124.73,Online Travel Agent,Check-Out,2023,10,Oct,2023-10,1,124.73,0
BKG100001,City Hotel,2022-04-06,2022-05-31,2022-06-04,55,Australia,1,2.0,Family,117.66,Online Travel Agent,Canceled,2022,4,Apr,2022-04,4,470.64,1
BKG100002,City Hotel,2022-01-07,2022-02-16,2022-02-23,40,USA,3,0.0,Standard,105.09,Offline Agent,Check-Out,2022,1,Jan,2022-01,7,735.63,0
BKG100003,Resort Hotel,2024-05-17,2024-08-13,2024-08-23,88,Australia,3,0.0,Standard,271.62,Corporate,Canceled,2024,5,May,2024-05,10,2716.2,1
BKG100004,Resort Hotel,2023-09-26,2023-12-27,2024-01-06,92,France,2,0.0,Standard,73.29,Online Travel Agent,Canceled,2023,9,Sep,2023-09,10,732.9000000000001,1
BKG100005,Resort Hotel,2023-01-25,2023-04-06,2023-04-14,71,France,3,0.0,Family,167.35,Direct,Check-Out,2023,1,Jan,2023-01,8,1338.8,0
BKG100006,Resort Hotel,2022-09-08,2022-10-19,2022-10-27,41,UAE,4,0.0,Family,346.96,Online Travel Agent,Canceled,2022,9,Sep,2022-09,8,2775.68,1
BKG100007,City Hotel,2024-04-04,2024-06-23,2024-06-30,80,Germany,3,0.0,Family,121.19,Offline Agent,Canceled,2024,4,Apr,2024-04,7,848.3299999999999,1
BKG100008,City Hotel,2023-10-21,2024-02-15,2024-02-18,117,Australia,3,0.0,Family,131.52,Online Travel Agent,Check-Out,2023,10,Oct,2023-10,3,394.56000000000006,0
BKG100009,Resort Hotel,2022-05-22,2022-09-29,2022-10-07,130,UK,1,0.0,Family,309.72,Online Travel Agent,Check-Out,2022,5,May,2022-05,8,2477.76,0
BKG100010,Resort Hotel,2023-09-03,2023-12-31,2024-01-09,119,USA,3,2.0,Suite,309.63,Corporate,Check-Out,2023,9,Sep,2023-09,9,2786.67,0
BKG100011,Resort Hotel,2023-03-22,2023-05-01,2023-05-09,40,Singapore,1,0.0,Family,341.85,Corporate,Canceled,2023,3,Mar,2023-03,8,2734.8,1
BKG100012,Resort Hotel,2023-06-04,2023-11-06,2023-11-10,155,Brazil,2,0.0,Suite,281.13,Offline Agent,Check-Out,2023,6,Jun,2023-06,4,1124.52,0
BKG100013,Resort Hotel,2023-01-07,2023-03-26,2023-03-30,78,USA,1,0.0,Family,314.62,Online Travel Agent,No-Show,2023,1,Jan,2023-01,4,1258.48,0
BKG100014,City Hotel,2023-06-30,2023-08-01,2023-08-04,32,Germany,4,2.0,Family,107.89,Online Travel Agent,Check-Out,2023,6,Jun,2023-06,3,323.67,0
BKG100015,Resort Hotel,2023-11-19,2024-05-03,2024-05-09,166,Australia,4,2.0,Standard,190.93,Corporate,Check-Out,2023,11,Nov,2023-11,6,1145.58,0
BKG100016,Resort Hotel,2023-07-22,2023-09-18,2023-09-28,58,Germany,2,0.0,Standard,80.59,Online Travel Agent,Canceled,2023,7,Jul,2023-07,10,805.9000000000001,1
BKG100017,Resort Hotel,2022-03-14,2022-07-23,2022-07-27,131,Brazil,3,1.0,Family,122.13,Direct,Canceled,2022,3,Mar,2022-03,4,488.52,1
BKG100018,City Hotel,2024-04-06,2024-07-19,2024-07-23,104,Australia,1,0.0,Family,251.1,Online Travel Agent,Canceled,2024,4,Apr,2024-04,4,1004.4,1
BKG100019,Resort Hotel,2022-02-25,2022-08-16,2022-08-18,172,Germany,1,1.0,Deluxe,271.18,Direct,Check-Out,2022,2,Feb,2022-02,2,542.36,0
BKG100020,Resort Hotel,2022-05-24,2022-09-09,2022-09-12,108,Canada,3,1.0,Standard,132.44,Online Travel Agent,Check-Out,2022,5,May,2022-05,3,397.32,0
BKG100021,City Hotel,2023-07-08,2023-07-11,2023-07-13,3,Germany,2,0.0,Family,177.86,Online Travel Agent,Check-Out,2023,7,Jul,2023-07,2,355.72,0
BKG100022,City Hotel,2022-01-03,2022-04-12,2022-04-17,99,UK,4,0.0,Deluxe,182.67,Corporate,Check-Out,2022,1,Jan,2022-01,5,913.3499999999999,0
BKG100023,City Hotel,2022-03-01,2022-07-27,2022-08-05,148,Singapore,1,0.0,Deluxe,76.58,Online Travel Agent,No-Show,2022,3,Mar,2022-03,9,689.22,0
